ruta_archivo,palabra,persona,nombre_archivo
audios/casa/Vale_casa_014.wav,casa,Vale,Vale_casa_014.wav
audios/casa/Vale_casa_005.wav,casa,Vale,Vale_casa_005.wav
audios/casa/Diego_casa_038.wav,casa,Diego,Diego_casa_038.wav
audios/casa/Mike_casa_033.wav,casa,Mike,Mike_casa_033.wav
audios/casa/Vale_casa_036.wav,casa,Vale,Vale_casa_036.wav
audios/casa/Mike_casa_015.wav,casa,Mike,Mike_casa_015.wav
audios/casa/Vale_casa_034.wav,casa,Vale,Vale_casa_034.wav
audios/casa/Nancy_casa_003.wav,casa,Nancy,Nancy_casa_003.wav
audios/casa/Nancy_casa_027.wav,casa,Nancy,Nancy_casa_027.wav
audios/casa/Vale_casa_049.wav,casa,Vale,Vale_casa_049.wav
audios/casa/Mike_casa_019.wav,casa,Mike,Mike_casa_019.wav
audios/casa/Mike_casa_023.wav,casa,Mike,Mike_casa_023.wav
audios/casa/Vale_casa_048.wav,casa,Vale,Vale_casa_048.wav
audios/casa/Mike_casa_026.wav,casa,Mike,Mike_casa_026.wav
audios/casa/Mike_casa_024.wav,casa,Mike,Mike_casa_024.wav
audios/casa/Diego_casa_047.wav,casa,Diego,Diego_casa_047.wav
audios/casa/Diego_casa_010.wav,casa,Diego,Diego_casa_010.wav
audios/casa/Mike_casa_006.wav,casa,Mike,Mike_casa_006.wav
audios/casa/Mike_casa_010.wav,casa,Mike,Mike_casa_010.wav
audios/casa/Diego_casa_040.wav,casa,Diego,Diego_casa_040.wav
audios/casa/Vale_casa_007.wav,casa,Vale,Vale_casa_007.wav
audios/casa/Diego_casa_022.wav,casa,Diego,Diego_casa_022.wav
audios/casa/Nancy_casa_023.wav,casa,Nancy,Nancy_casa_023.wav
audios/casa/Diego_casa_033.wav,casa,Diego,Diego_casa_033.wav
audios/casa/Diego_casa_037.wav,casa,Diego,Diego_casa_037.wav
audios/casa/Nancy_casa_006.wav,casa,Nancy,Nancy_casa_006.wav
audios/casa/Nancy_casa_033.wav,casa,Nancy,Nancy_casa_033.wav
audios/casa/Diego_casa_028.wav,casa,Diego,Diego_casa_028.wav
audios/casa/Nancy_casa_040.wav,casa,Nancy,Nancy_casa_040.wav
audios/casa/Nancy_casa_012.wav,casa,Nancy,Nancy_casa_012.wav
audios/casa/Mike_casa_013.wav,casa,Mike,Mike_casa_013.wav
audios/casa/Nancy_casa_043.wav,casa,Nancy,Nancy_casa_043.wav
audios/casa/Vale_casa_043.wav,casa,Vale,Vale_casa_043.wav
audios/casa/Mike_casa_031.wav,casa,Mike,Mike_casa_031.wav
audios/casa/Mike_casa_007.wav,casa,Mike,Mike_casa_007.wav
audios/casa/Vale_casa_031.wav,casa,Vale,Vale_casa_031.wav
audios/casa/Nancy_casa_035.wav,casa,Nancy,Nancy_casa_035.wav
audios/casa/Mike_casa_029.wav,casa,Mike,Mike_casa_029.wav
audios/casa/Mike_casa_017.wav,casa,Mike,Mike_casa_017.wav
audios/casa/Mike_casa_030.wav,casa,Mike,Mike_casa_030.wav
audios/casa/Mike_casa_039.wav,casa,Mike,Mike_casa_039.wav
audios/casa/Nancy_casa_018.wav,casa,Nancy,Nancy_casa_018.wav
audios/casa/Vale_casa_024.wav,casa,Vale,Vale_casa_024.wav
audios/casa/Nancy_casa_022.wav,casa,Nancy,Nancy_casa_022.wav
audios/casa/Nancy_casa_024.wav,casa,Nancy,Nancy_casa_024.wav
audios/casa/Vale_casa_013.wav,casa,Vale,Vale_casa_013.wav
audios/casa/Nancy_casa_049.wav,casa,Nancy,Nancy_casa_049.wav
audios/casa/Mike_casa_034.wav,casa,Mike,Mike_casa_034.wav
audios/casa/Nancy_casa_008.wav,casa,Nancy,Nancy_casa_008.wav
audios/casa/Vale_casa_002.wav,casa,Vale,Vale_casa_002.wav
audios/casa/Mike_casa_044.wav,casa,Mike,Mike_casa_044.wav
audios/casa/Mike_casa_043.wav,casa,Mike,Mike_casa_043.wav
audios/casa/Diego_casa_023.wav,casa,Diego,Diego_casa_023.wav
audios/casa/Vale_casa_041.wav,casa,Vale,Vale_casa_041.wav
audios/casa/Vale_casa_017.wav,casa,Vale,Vale_casa_017.wav
audios/casa/Mike_casa_032.wav,casa,Mike,Mike_casa_032.wav
audios/casa/Diego_casa_009.wav,casa,Diego,Diego_casa_009.wav
audios/casa/Nancy_casa_017.wav,casa,Nancy,Nancy_casa_017.wav
audios/casa/Vale_casa_040.wav,casa,Vale,Vale_casa_040.wav
audios/casa/Diego_casa_032.wav,casa,Diego,Diego_casa_032.wav
audios/casa/Mike_casa_020.wav,casa,Mike,Mike_casa_020.wav
audios/casa/Mike_casa_025.wav,casa,Mike,Mike_casa_025.wav
audios/casa/Diego_casa_048.wav,casa,Diego,Diego_casa_048.wav
audios/casa/Diego_casa_014.wav,casa,Diego,Diego_casa_014.wav
audios/casa/Diego_casa_035.wav,casa,Diego,Diego_casa_035.wav
audios/casa/Vale_casa_033.wav,casa,Vale,Vale_casa_033.wav
