ruta_archivo,palabra,persona,nombre_archivo
audios/casa/Nancy_casa_084.wav,casa,Nancy,Nancy_casa_084.wav
audios/casa/Diego_casa_038.wav,casa,Diego,Diego_casa_038.wav
audios/casa/Nancy_casa_095.wav,casa,Nancy,Nancy_casa_095.wav
audios/casa/Valeria_casa_094.wav,casa,Valeria,Valeria_casa_094.wav
audios/casa/Miguel_casa_041.wav,casa,Miguel,Miguel_casa_041.wav
audios/casa/Valeria_casa_052.wav,casa,Valeria,Valeria_casa_052.wav
audios/casa/Nancy_casa_003.wav,casa,Nancy,Nancy_casa_003.wav
audios/casa/Nancy_casa_086.wav,casa,Nancy,Nancy_casa_086.wav
audios/casa/Miguel_casa_093.wav,casa,Miguel,Miguel_casa_093.wav
audios/casa/Nancy_casa_027.wav,casa,Nancy,Nancy_casa_027.wav
audios/casa/Miguel_casa_076.wav,casa,Miguel,Miguel_casa_076.wav
audios/casa/Valeria_casa_056.wav,casa,Valeria,Valeria_casa_056.wav
audios/casa/Nancy_casa_052.wav,casa,Nancy,Nancy_casa_052.wav
audios/casa/Valeria_casa_098.wav,casa,Valeria,Valeria_casa_098.wav
audios/casa/Miguel_casa_015.wav,casa,Miguel,Miguel_casa_015.wav
audios/casa/Valeria_casa_074.wav,casa,Valeria,Valeria_casa_074.wav
audios/casa/Miguel_casa_095.wav,casa,Miguel,Miguel_casa_095.wav
audios/casa/Miguel_casa_030.wav,casa,Miguel,Miguel_casa_030.wav
audios/casa/Valeria_casa_081.wav,casa,Valeria,Valeria_casa_081.wav
audios/casa/Diego_casa_080.wav,casa,Diego,Diego_casa_080.wav
audios/casa/Diego_casa_077.wav,casa,Diego,Diego_casa_077.wav
audios/casa/Nancy_casa_062.wav,casa,Nancy,Nancy_casa_062.wav
audios/casa/Valeria_casa_096.wav,casa,Valeria,Valeria_casa_096.wav
audios/casa/Nancy_casa_082.wav,casa,Nancy,Nancy_casa_082.wav
audios/casa/Diego_casa_053.wav,casa,Diego,Diego_casa_053.wav
audios/casa/Valeria_casa_093.wav,casa,Valeria,Valeria_casa_093.wav
audios/casa/Miguel_casa_043.wav,casa,Miguel,Miguel_casa_043.wav
audios/casa/Nancy_casa_087.wav,casa,Nancy,Nancy_casa_087.wav
audios/casa/Diego_casa_084.wav,casa,Diego,Diego_casa_084.wav
audios/casa/Diego_casa_072.wav,casa,Diego,Diego_casa_072.wav
audios/casa/Miguel_casa_065.wav,casa,Miguel,Miguel_casa_065.wav
audios/casa/Diego_casa_047.wav,casa,Diego,Diego_casa_047.wav
audios/casa/Diego_casa_010.wav,casa,Diego,Diego_casa_010.wav
audios/casa/Diego_casa_040.wav,casa,Diego,Diego_casa_040.wav
audios/casa/Diego_casa_022.wav,casa,Diego,Diego_casa_022.wav
audios/casa/Valeria_casa_024.wav,casa,Valeria,Valeria_casa_024.wav
audios/casa/Nancy_casa_092.wav,casa,Nancy,Nancy_casa_092.wav
audios/casa/Miguel_casa_028.wav,casa,Miguel,Miguel_casa_028.wav
audios/casa/Nancy_casa_023.wav,casa,Nancy,Nancy_casa_023.wav
audios/casa/Diego_casa_033.wav,casa,Diego,Diego_casa_033.wav
audios/casa/Miguel_casa_053.wav,casa,Miguel,Miguel_casa_053.wav
audios/casa/Diego_casa_037.wav,casa,Diego,Diego_casa_037.wav
audios/casa/Nancy_casa_075.wav,casa,Nancy,Nancy_casa_075.wav
audios/casa/Miguel_casa_091.wav,casa,Miguel,Miguel_casa_091.wav
audios/casa/Nancy_casa_058.wav,casa,Nancy,Nancy_casa_058.wav
audios/casa/Nancy_casa_006.wav,casa,Nancy,Nancy_casa_006.wav
audios/casa/Nancy_casa_033.wav,casa,Nancy,Nancy_casa_033.wav
audios/casa/Nancy_casa_098.wav,casa,Nancy,Nancy_casa_098.wav
audios/casa/Miguel_casa_033.wav,casa,Miguel,Miguel_casa_033.wav
audios/casa/Diego_casa_099.wav,casa,Diego,Diego_casa_099.wav
audios/casa/Valeria_casa_007.wav,casa,Valeria,Valeria_casa_007.wav
audios/casa/Nancy_casa_053.wav,casa,Nancy,Nancy_casa_053.wav
audios/casa/Diego_casa_028.wav,casa,Diego,Diego_casa_028.wav
audios/casa/Diego_casa_093.wav,casa,Diego,Diego_casa_093.wav
audios/casa/Nancy_casa_040.wav,casa,Nancy,Nancy_casa_040.wav
audios/casa/Valeria_casa_039.wav,casa,Valeria,Valeria_casa_039.wav
audios/casa/Nancy_casa_012.wav,casa,Nancy,Nancy_casa_012.wav
audios/casa/Nancy_casa_081.wav,casa,Nancy,Nancy_casa_081.wav
audios/casa/Nancy_casa_071.wav,casa,Nancy,Nancy_casa_071.wav
audios/casa/Nancy_casa_043.wav,casa,Nancy,Nancy_casa_043.wav
audios/casa/Miguel_casa_069.wav,casa,Miguel,Miguel_casa_069.wav
audios/casa/Miguel_casa_031.wav,casa,Miguel,Miguel_casa_031.wav
audios/casa/Miguel_casa_067.wav,casa,Miguel,Miguel_casa_067.wav
audios/casa/Nancy_casa_035.wav,casa,Nancy,Nancy_casa_035.wav
audios/casa/Valeria_casa_047.wav,casa,Valeria,Valeria_casa_047.wav
audios/casa/Miguel_casa_046.wav,casa,Miguel,Miguel_casa_046.wav
audios/casa/Miguel_casa_097.wav,casa,Miguel,Miguel_casa_097.wav
audios/casa/Nancy_casa_080.wav,casa,Nancy,Nancy_casa_080.wav
audios/casa/Diego_casa_082.wav,casa,Diego,Diego_casa_082.wav
audios/casa/Valeria_casa_091.wav,casa,Valeria,Valeria_casa_091.wav
audios/casa/Diego_casa_066.wav,casa,Diego,Diego_casa_066.wav
audios/casa/Valeria_casa_009.wav,casa,Valeria,Valeria_casa_009.wav
audios/casa/Miguel_casa_013.wav,casa,Miguel,Miguel_casa_013.wav
audios/casa/Miguel_casa_073.wav,casa,Miguel,Miguel_casa_073.wav
audios/casa/Miguel_casa_051.wav,casa,Miguel,Miguel_casa_051.wav
audios/casa/Valeria_casa_037.wav,casa,Valeria,Valeria_casa_037.wav
audios/casa/Nancy_casa_018.wav,casa,Nancy,Nancy_casa_018.wav
audios/casa/Nancy_casa_061.wav,casa,Nancy,Nancy_casa_061.wav
audios/casa/Valeria_casa_070.wav,casa,Valeria,Valeria_casa_070.wav
audios/casa/Nancy_casa_022.wav,casa,Nancy,Nancy_casa_022.wav
audios/casa/Miguel_casa_016.wav,casa,Miguel,Miguel_casa_016.wav
audios/casa/Nancy_casa_068.wav,casa,Nancy,Nancy_casa_068.wav
audios/casa/Valeria_casa_036.wav,casa,Valeria,Valeria_casa_036.wav
audios/casa/Miguel_casa_088.wav,casa,Miguel,Miguel_casa_088.wav
audios/casa/Nancy_casa_024.wav,casa,Nancy,Nancy_casa_024.wav
audios/casa/Nancy_casa_100.wav,casa,Nancy,Nancy_casa_100.wav
audios/casa/Nancy_casa_049.wav,casa,Nancy,Nancy_casa_049.wav
audios/casa/Valeria_casa_038.wav,casa,Valeria,Valeria_casa_038.wav
audios/casa/Valeria_casa_025.wav,casa,Valeria,Valeria_casa_025.wav
audios/casa/Nancy_casa_096.wav,casa,Nancy,Nancy_casa_096.wav
audios/casa/Diego_casa_075.wav,casa,Diego,Diego_casa_075.wav
